"","x"
"661",-0.102575173632016
"662",-0.172274191758647
"663",-0.171988675181892
"664",-0.171988675181892
"665",-0.159117490689865
"666",-0.16316105040616
"667",-0.16316105040616
"668",-0.147981124909013
"669",-0.131969210572887
"670",-0.100144361530697
"671",-0.125551104825467
"672",-0.117896644577049
"673",-0.147511374638908
"674",-0.15855547164618
"675",-0.163703910123669
"676",-0.164652140831329
"677",-0.14573939742777
"678",-0.105687216241322
"679",-0.12456767718678
"680",-0.150773946282353
"681",-0.138972933186243
"682",-0.0578394613699092
"683",1.47800907174681
"684",1.43575459847866
"685",1.40485888841559
"686",1.51192413124939
"687",1.46470853190091
"688",1.46998921963194
"689",1.3845785766186
"690",1.42977612370668
"691",1.33193274144619
"692",1.44722708993501
"693",1.44610042368395
"694",1.44610042368395
"695",1.41733406797474
"696",1.39717460848972
"697",1.61711104101816
"698",1.48674478935558
"699",1.48674478935558
"700",1.52077859378411
"701",1.52077859378411
"702",1.50205605785375
"703",1.27056928999365
"704",1.23072935805511
"705",1.32537613532271
"706",-0.240951836262704
"707",-0.19730025216143
"708",-0.241708111716565
"709",-0.21927333628214
"710",-0.232558662334209
"711",-0.293139220028515
"712",-0.286522939362552
"713",-0.229521693994601
"714",-0.253562254687718
"715",-0.216220239111814
"716",-0.214951363367657
"717",-0.279777152626037
"718",-0.236491749096452
"719",-0.201996331173924
"720",-0.263138882654909
"721",-0.251939682243407
"722",-0.24811300576393
"723",-0.282199131341072
"724",-0.285575247160348
"725",-0.292102132852197
"726",-0.258034818334956
"727",-0.243865198184785
"728",-0.243865198184785
"729",-0.256511615966824
"730",-0.19817427915624
"731",-0.155661171020271
"732",-0.22503867518856
"733",-0.172598081843179
"734",-0.172801856264072
"735",-0.24529375515123
"736",-0.238171265252965
"737",-0.250860022694539
"738",-0.244626692335155
"739",-0.222575828125825
"740",-0.20780960872964
"741",-0.26216520138117
"742",-0.166608085624841
"743",-0.210310851894326
"744",-0.180845774180202
"745",0.469129801578481
"746",0.466795507521206
"747",0.402593980879735
"748",0.278584584918017
"749",0.498020018503031
"750",0.445861278711116
"751",0.454821001869776
"752",0.487854783385013
"753",0.647436558219626
"754",0.658376005476774
"755",0.552366911107255
"756",0.653539574835772
"757",0.526312431615787
"758",0.599652301918511
"759",0.576050802832722
